Order, Astronaut, Date, Mission
1, Yuri Gagarin, 1961-04-12, Vostok
2, Gherman Titov, 1961-08-06, Vostok 2
3, Andrian Nikolayev, 1962-08-11, Vostok 3
4, Pavel Popovich, 1962-08-12, Vostok 4
5, Valeri Bykovsky, 1963-06-14, Vostok 5
6, Valentina Tereshkova, 1963-06-16, Vostok 6
7, Joseph Walker, 1963-07-19, X-15 Flight #90
8, Konstantin Feoktistov, 1964-10-12, Voskhod
, Vladimir Komarov, 1964-10-12, Voskhod
, Boris Yegorov, 1964-10-12, Voskhod
11, Pavel Belyayev, 1965-03-18, Voskhod 2
, Alexi Leonov, 1965-03-18, Voskhod 2
13, Georgi Beregovoi, 1968-10-26, Soyuz 3
14, William Anders, 1968-12-21, Apollo 8
15, Vladimir Shatalov, 1969-01-14, Soyuz 4
16, Yevgeni Khrunov, 1969-01-15, Soyuz 5
, Boris Volynov, 1969-01-15, Soyuz 5
, Aleksei Yeliseyev, 1969-01-15, Soyuz 5
19, Russell Schweickart, 1969-03-03, Apollo 9
20, Valeri Kubasov, 1969-10-11, Soyuz 6
, Georgi Shonin, 1969-10-11, Soyuz 6
22, Anatoli Filipchenko, 1969-10-12, Soyuz 7
, Viktor Gorbatko, 1969-10-12, Soyuz 7
, Vladislav Volkov, 1969-10-12, Soyuz 7
25, Alan Bean, 1969-11-14, Apollo 12
26, Fred Haise, 1970-04-11, Apollo 13
, John Swigert, 1970-04-11, Apollo 13
28, Vitali Sevastyanov, 1970-06-01, Soyuz 9
29, Edgar Mitchell, 1971-01-31, Apollo 14
, Stuart Roosa, 1971-01-31, Apollo 14
31, Nikolai Rukavishnikov, 1971-04-22, Soyuz 10
32, Georgi Dobrovolsky, 1971-06-06, Soyuz 11
, Viktor Patsayev, 1971-06-06, Soyuz 11
34, James Irwin, 1971-07-26, Apollo 15
, Alfred Worden, 1971-07-26, Apollo 15
36, Charles Duke, 1972-04-16, Apollo 16
, Thomas Mattingly, 1972-04-16, Apollo 16
38, Ronald Evans, 1972-12-07, Apollo 17
, Harrison Schmitt, 1972-12-07, Apollo 17
40, Joseph Kerwin, 1973-05-25, Skylab 1
, Paul Weitz, 1973-05-25, Skylab 1
42, Owen Garriott, 1973-07-28, Skylab 2
, Jack Lousma, 1973-07-28, Skylab 2
44, Vasily Lazarev, 1973-09-27, Soyuz 12
, Oleg Makarov, 1973-09-27, Soyuz 12
46, Gerald Carr, 1973-11-16, Skylab 3
, Edward Gibson, 1973-11-16, Skylab 3
, William Pogue, 1973-11-16, Skylab 3
49, Pyotr Klimuk, 1973-12-18, Soyuz 13
, Valentin Lebedev, 1973-12-18, Soyuz 13
51, Yuri Artyukhin, 1974-07-03, Soyuz 14
52, Lev Dyomin, 1974-08-26, Soyuz 15
, Gennadi Sarafanov, 1974-08-26, Soyuz 15
54, Georgi Grechko, 1975-01-10, Soyuz 17
, Alexy Gubarev, 1975-01-10, Soyuz 17
56, Vance Brand, 1975-07-15, ASTP
, Donald Slayton, 1975-07-15, ASTP
58, Vitaly Zholobov, 1976-07-06, Soyuz 21
59, Vladimir Aksyonov, 1976-09-15, Soyuz 22
60, Valeri Rozhdestvensky, 1976-10-14, Soyuz 23
, Vyacheslav Zudov, 1976-10-14, Soyuz 23
62, Yuri Glazkov, 1977-02-07, Soyuz 24
63, Vladimir Kovalyonok, 1977-10-09, Soyuz 25
, Valeri Ryumin, 1977-10-09, Soyuz 25
65, Yuri Romanenko, 1977-12-10, Soyuz 26
66, Vladimir Dzhanibekov, 1978-01-10, Soyuz 27
67, Vladimir Remek, 1978-03-02, Soyuz 28
68, Aleksandr Ivanchenkov, 1978-06-15, Soyuz 29
69, Miroslav Hermaszewski, 1978-06-27, Soyuz 30
70, Sigmund Jähn, 1978-08-26, Soyuz 31
71, Vladimir Lyakhov, 1979-02-25, Soyuz 32
72, Georgi Ivanov, 1979-04-10, Soyuz 33
73, Leonid Popov, 1980-04-09, Soyuz 35
74, Bertalan Farkas, 1980-05-26, Soyuz 36
75, Yuri Malyshev, 1980-06-05, Soyuz T-2
76, Pham Tuan, 1980-07-23, Soyuz 37
77, Arnaldo Tamayo-Mendez, 1980-09-18, Soyuz 38
78, Leonid Kizim, 1980-11-27, Soyuz T-3
, Gennadi Strekalov, 1980-11-27, Soyuz T-3
80, Viktor Savinykh, 1981-03-12, Soyuz T-4
81, Jugderdemidliin Gurragcha, 1981-03-22, Soyuz 39
82, Robert Crippen, 1981-04-12, STS-1
83, Dumitru-Dorin Prunariu, 1981-05-14, Soyuz 40
84, Joseph Engle, 1981-11-12, STS-2
, Richard Truly, 1981-11-12, STS-2
86, Charles Fullerton, 1982-03-22, STS-3
87, Anatoli Berezovoi, 1982-05-13, Soyuz T-5
88, Jean-Loup Chretien, 1982-06-24, Soyuz T-6
89, Henry Hartsfield, 1982-06-27, STS-4
90, Svetlana Savitskaya, 1982-08-19, Soyuz T-7
, Aleksandr Serebrov, 1982-08-19, Soyuz T-7
92, Joseph Allen, 1982-11-11, STS-5
, William Lenoir, 1982-11-11, STS-5
, Robert Overmyer, 1982-11-11, STS-5
95, Karol Bobko, 1983-04-04, STS-6
, Franklin Musgrave, 1983-04-04, STS-6
, Donald Peterson, 1983-04-04, STS-6
98, Vladimir Titov, 1983-04-20, Soyuz T-8
99, John Fabian, 1983-06-18, STS-7
