"Operand", "Description"
"``-x``", "``x`` negacja"
"``+x``", "``x`` bez zmiany"
"``x + y``", "suma ``x`` i ``y``"
"``x - y``", "różnica ``x`` i ``y``"
"``x * y``", "iloczyn ``x`` i ``y``"
"``x / y``", "iloraz ``x`` i ``y``"
"``x ** y``", "``x`` do potęgi ``y``"
"``x // y``", "podłoga z ilorazu ``x`` i ``y``"
"``x % y``", "reszta z dzielenia ``x / y``"
"``divmod(x, y)``", "para ``(x // y, x % y)``"
"``abs(x)``", "wartość bezwzględna ``x``"
"``int(x)``", "``x`` przekonwertowane do ``int``"
"``float(x)``", "``x`` przekonwertowane do ``float``"
"``round(x, y)``", "``x`` zaokrąglenie liczby z precyzją ``y``"
"``complex(re, im)``", "liczba zespolona: ``re`` - część rzeczywista, ``im`` - część urojona"
