    "Escape sequence", "Description"
    "``\\``", "Backslash ``\``"
    "``\'``", "Single quote ``'``"
    "``\""``", "Double quote ``""``"
    "``\a``", "ASCII Bell (BEL)"
    "``\b``", "ASCII Backspace (BS)"
    "``\f``", "ASCII Formfeed (FF)"
    "``\n``", "ASCII Linefeed (LF)"
    "``\r``", "ASCII Carriage Return (CR)"
    "``\t``", "ASCII Horizontal Tab (TAB)"
    "``\uxxxx``", "Character with 16-bit hex value XXXX"
    "``\Uxxxxxxxx``", "Character with 32-bit hex value XXXXXXXX"
    "``\v``", "ASCII Vertical Tab (VT)"
    "``\ooo``", "ASCII character with octal value ooo"
    "``\xhh...``", "ASCII character with hex value hh..."
