"Exception", "Raised when..."
"``AttributeError``", "Attribute reference or assignment fails"
"``ImportError``", "Import statement fails"
"``IndexError``", "Sequence subscript is out of range"
"``KeyError``", "Dictionary key is not found"
"``KeyboardInterrupt``", "User hits the interrupt key (Control-C)"
"``NameError``", "Local or global name is not found"
"``NotImplementedError``", "In user defined base classes, abstract methods should raise this exception when they require derived classes to override the method"
"``SyntaxError``", "Parser encounters a syntax error"
"``IndentationError``", "Syntax errors related to incorrect indentation"
"``TypeError``", "Operation or function is applied to an object of inappropriate type"
"``RuntimeError``", "Error is detected that doesn’t fall in any of the other categories"
