"Method", "Arguments", "Description"
"``IMAP4.append()``", "``mailbox``, ``flags``, ``date_time``, ``message``", "Append message to named mailbox"
"``IMAP4.check()``", "", "Checkpoint mailbox on server"
"``IMAP4.close()``", "", "Close currently selected mailbox"
"``IMAP4.copy()``", "``message_set``, ``new_mailbox``", "Copy message_set messages onto end of new_mailbox"
"``IMAP4.create()``", "``name``", "Create new mailbox"
"``IMAP4.delete(name)``", "", "Delete mailbox "
"``IMAP4.expunge()``", "", "Permanently remove deleted items from selected mailbox"
"``IMAP4.fetch()``", "``message_set``, ``message_parts``", "Fetch (parts of) messages. ``message_parts`` should be a string of message part names enclosed within parentheses, eg: ``(UID BODY[TEXT])``"
"``IMAP4.list()``", "``directory=None``, ``pattern=None``", "List mailbox names in directory matching pattern"
"``IMAP4.login()``", "``user``, ``password``", "Identify the client using a plaintext password"
"``IMAP4.logout()``", "", "Shutdown connection to server"
"``IMAP4.recent()``", "", "Prompt server for an update"
"``IMAP4.rename()``", "``oldmailbox``, ``newmailbox``", "Rename mailbox named oldmailbox to newmailbox"
"``IMAP4.search()``", "``charset=None``, ``criterion[, ...]``", "Search mailbox for matching messages. ``charset`` may be None, in which case no CHARSET will be specified in the request to the server"
"``IMAP4.select()``", "``mailbox='IMAP'``, ``readonly=False``", "Select a mailbox. The default mailbox is ``INBOX``. If the readonly flag is set, modifications to the mailbox are not allowed"
