"Method", "Arguments", "Description"
"``FTP.connect()``", "``host=''``, ``port=0``, ``timeout=None``, ``source_address=None``", "Connect to the given host and port. The default port number is 21, as specified by the FTP protocol specification"
"``FTP.login()``", "``user='anonymous'``, ``passwd=''``, ``acct=''``", "Log in as the given user"
"``FTP.abort()``", "", "Abort a file transfer that is in progress"
"``FTP.sendcmd()``", "``cmd``", "Send a simple command string to the server and return the response string"
"``FTP.retrbinary()``", "``cmd``, ``callback``, ``blocksize=8192``, ``rest=None``", "Retrieve a file in binary transfer mode"
"``FTP.retrlines()``", "``cmd``, ``callback=None``", "Retrieve a file or directory listing in ASCII transfer mode"
"``FTP.set_pasv()``", "``val``", "Enable 'passive' mode if val is true, otherwise disable passive mode"
"``FTP.storbinary()``", "``cmd``, ``fp``, ``blocksize=8192``, ``callback=None``, ``rest=None``", "Store a file in binary transfer mode"
"``FTP.storlines()``", "``cmd``, ``fp``, ``callback=None``", "Store a file in ASCII transfer mode"
"``FTP.dir()``", "``argument[, ...]``", "Produce a directory listing as returned by the LIST command, printing it to standard output"
"``FTP.rename()``", "``old_name``, ``new_name``", "Rename file"
"``FTP.delete()``", "``filename``", "Remove the file"
"``FTP.cwd()``", "``pathname``", "Set the current directory on the server"
"``FTP.mkd()``", "``pathname``", "Create a new directory on the server"
"``FTP.pwd()``", "", "Return the pathname of the current directory on the server"
"``FTP.rmd()``", "``dirname``", "Remove the directory named dirname on the server"
"``FTP.size()``", "``filename``", "Request the size of the file named filename on the server"
