"Operand", "Description"
"``-x``", "``x`` negacja"
"``+x``", "``x`` bez zmiany"
"``x + y``", "suma ``x`` i ``y``"
"``x - y``", "różnica ``x`` i ``y``"
"``x * y``", "iloczyn ``x`` i ``y``"
"``x / y``", "iloraz ``x`` i ``y``"
"``x ** y``", "``x`` do potęgi ``y``"
"``x // y``", "ilość całych z dzielenia ``x`` przez ``y``"
"``x % y``", "reszta z dzielenia ``x`` przez ``y``"
"``divmod(x, y)``", "para ``(ile_calych, reszta)`` ``(x // y, x % y)``"
"``abs(x)``", "wartość bezwzględna ``x``"
"``int(x)``", "``x`` przekonwertowane do ``int``"
"``float(x)``", "``x`` przekonwertowane do ``float``"
"``round(x, y)``", "``x`` zaokrąglenie liczby z precyzją ``y``"
"``complex(re, im)``", "liczba zespolona: ``re`` - część rzeczywista, ``im`` - część urojona"
